iter	Passed	Remaining
654	17885	8874
655	17912	8847
656	17939	8819
657	17966	8792
658	17996	8765
659	18022	8738
660	18049	8710
661	18075	8682
662	18101	8655
663	18129	8627
664	18155	8600
665	18182	8572
666	18209	8544
667	18234	8516
668	18261	8489
669	18287	8461
670	18313	8433
671	18339	8405
672	18366	8377
673	18393	8350
674	18419	8322
675	18446	8295
676	18472	8267
677	18499	8240
678	18525	8212
679	18552	8184
680	18579	8157
681	18604	8129
682	18631	8101
683	18657	8073
684	18683	8046
685	18709	8018
686	18735	7990
687	18761	7962
688	18783	7933
689	18809	7905
690	18835	7877
691	18862	7850
692	18887	7822
693	18914	7794
694	18941	7767
695	18967	7739
696	18993	7711
697	19021	7684
698	19046	7656
699	19073	7629
700	19099	7601
701	19123	7573
702	19150	7545
703	19175	7517
704	19203	7490
705	19228	7462
706	19254	7435
707	19279	7406
708	19306	7379
709	19334	7352
710	19361	7325
711	19387	7297
712	19414	7270
713	19440	7242
714	19466	7214
715	19493	7187
716	19519	7159
717	19545	7132
718	19572	7104
719	19600	7078
720	19621	7048
721	19649	7021
722	19675	6993
723	19701	6966
724	19727	6938
725	19755	6911
726	19781	6883
727	19808	6856
728	19834	6828
729	19860	6801
730	19886	6773
731	19913	6746
732	19939	6718
733	19965	6691
734	19994	6664
735	20020	6637
736	20047	6609
737	20073	6582
738	20100	6555
739	20126	6527
740	20153	6500
741	20178	6472
742	20205	6445
743	20231	6417
744	20259	6390
745	20285	6363
746	20311	6335
747	20337	6307
748	20363	6280
749	20391	6253
750	20419	6226
751	20445	6198
752	20472	6171
753	20498	6144
754	20525	6116
755	20551	6089
756	20577	6061
757	20605	6034
758	20632	6007
759	20657	5979
760	20685	5952
761	20711	5925
762	20738	5898
763	20765	5870
764	20793	5843
765	20819	5816
766	20845	5789
767	20872	5761
768	20899	5734
769	20925	5706
770	20952	5679
771	20980	5652
772	21006	5625
773	21032	5597
774	21059	5570
775	21085	5543
776	21111	5515
777	21137	5488
778	21164	5460
779	21192	5433
780	21219	5406
781	21245	5379
782	21271	5351
783	21297	5324
784	21325	5297
785	21351	5270
786	21379	5242
787	21407	5216
788	21434	5188
789	21461	5161
790	21487	5134
791	21514	5106
792	21540	5079
793	21567	5052
794	21595	5025
795	21621	4998
796	21648	4970
797	21674	4943
798	21700	4915
799	21726	4888
800	21753	4861
801	21779	4833
802	21805	4806
803	21833	4779
804	21857	4751
805	21884	4724
806	21911	4697
807	21935	4669
808	21962	4642
809	21990	4615
810	22016	4587
811	22041	4560
812	22068	4533
813	22093	4505
814	22119	4478
815	22147	4451
816	22173	4423
817	22199	4396
818	22224	4368
819	22250	4341
820	22276	4314
821	22303	4286
822	22329	4259
823	22356	4232
824	22385	4205
825	22412	4178
826	22439	4151
827	22466	4124
828	22493	4097
829	22518	4069
830	22545	4042
831	22567	4014
832	22594	3987
833	22620	3959
834	22646	3932
835	22673	3905
836	22699	3878
837	22725	3850
838	22752	3823
839	22780	3796
840	22807	3769
841	22833	3742
842	22859	3714
843	22885	3687
844	22912	3660
845	22939	3633
846	22966	3606
847	22992	3579
848	23018	3551
849	23045	3524
850	23072	3497
851	23098	3470
852	23125	3443
853	23151	3415
854	23179	3388
855	23206	3361
856	23232	3334
857	23258	3307
858	23284	3279
859	23311	3252
860	23337	3225
861	23364	3198
862	23391	3171
863	23417	3144
864	23444	3116
865	23470	3089
866	23496	3062
867	23523	3035
868	23550	3008
869	23578	2981
870	23605	2954
871	23632	2926
872	23656	2899
873	23683	2872
874	23710	2845
875	23736	2818
876	23764	2791
877	23790	2763
878	23817	2736
879	23842	2709
880	23869	2682
881	23895	2655
882	23922	2627
883	23950	2600
884	23978	2573
885	24005	2546
886	24031	2519
887	24058	2492
888	24083	2465
889	24110	2438
890	24137	2411
891	24163	2383
892	24190	2356
893	24216	2329
894	24237	2301
895	24264	2274
896	24291	2247
897	24319	2220
898	24345	2193
899	24373	2166
900	24400	2139
901	24426	2112
902	24454	2085
903	24481	2058
904	24507	2031
905	24533	2003
906	24561	1976
907	24587	1949
908	24613	1922
909	24639	1895
910	24666	1868
911	24694	1841
912	24720	1814
913	24747	1787
914	24775	1760
915	24801	1732
916	24828	1705
917	24854	1678
918	24881	1651
919	24908	1624
920	24935	1597
921	24962	1570
922	24988	1543
923	25015	1516
924	25042	1488
925	25068	1461
926	25094	1434
927	25120	1407
928	25146	1380
929	25175	1353
930	25202	1326
931	25228	1299
932	25253	1272
933	25279	1245
934	25305	1217
935	25331	1190
936	25358	1163
937	25385	1136
938	25412	1109
939	25438	1082
940	25464	1055
941	25492	1028
942	25518	1001
943	25544	974
944	25573	947
945	25599	920
946	25621	892
947	25648	865
948	25674	838
949	25700	811
950	25728	784
951	25754	757
952	25781	730
953	25807	703
954	25833	676
955	25859	649
956	25886	622
957	25912	595
958	25940	568
959	25971	541
960	25997	513
961	26024	486
962	26050	459
963	26076	432
964	26102	405
965	26128	378
966	26155	351
967	26181	324
968	26207	297
969	26234	270
970	26260	243
971	26286	216
972	26311	189
973	26337	162
974	26364	135
975	26391	108
976	26418	81
977	26446	54
978	26473	27
979	26500	0
